nohup: ignoring input
Some weights of ViTForImageClassification were not initialized from the model checkpoint at WinKawaks/vit-small-patch16-224 and are newly initialized because the shapes did not match:
- classifier.bias: found shape torch.Size([1000]) in the checkpoint and torch.Size([100]) in the model instantiated
- classifier.weight: found shape torch.Size([1000, 384]) in the checkpoint and torch.Size([100, 384]) in the model instantiated
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/b23cs1037/.netrc.
wandb: Currently logged in as: ikamboj-919 (ikamboj-919-iit-jodhpur) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ze74a2dl
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/b23cs1037/otaal/ops-ass-5/wandb/run-20260401_220054-ze74a2dl
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run q1-lora-r4-a8-d0.1
wandb: ⭐️ View project at https://wandb.ai/ikamboj-919-iit-jodhpur/final-ops-ass-5
wandb: 🚀 View run at https://wandb.ai/ikamboj-919-iit-jodhpur/final-ops-ass-5/runs/ze74a2dl
Files already downloaded and verified
Files already downloaded and verified
Device: cuda
Mode: lora | model: WinKawaks/vit-small-patch16-224 | image_size: 224
LoRA: rank=4 alpha=8 dropout=0.1
Trainable params: 110,592
Output dir: q1/outputs
Starting training.

train epoch 1: 0it [00:00, ?it/s]
train epoch 1: 92it [00:15,  6.62it/s, acc=0.008, it_s=6.10, loss=4.919]
train epoch 1: 99it [00:16,  6.63it/s, acc=0.008, it_s=6.10, loss=4.919]
train epoch 1: 99it [00:16,  6.63it/s, acc=0.008, it_s=6.12, loss=4.904]
train epoch 1: 99it [00:17,  6.63it/s, acc=0.009, it_s=6.14, loss=4.892]
train epoch 1: 106it [00:17,  6.63it/s, acc=0.009, it_s=6.14, loss=4.892]
train epoch 1: 106it [00:17,  6.63it/s, acc=0.009, it_s=6.16, loss=4.879]
train epoch 1: 113it [00:18,  6.63it/s, acc=0.009, it_s=6.16, loss=4.879]
train epoch 1: 113it [00:18,  6.63it/s, acc=0.009, it_s=6.18, loss=4.868]
train epoch 1: 113it [00:19,  6.63it/s, acc=0.010, it_s=6.20, loss=4.857]
train epoch 1: 120it [00:19,  6.63it/s, acc=0.010, it_s=6.20, loss=4.857]
train epoch 1: 120it [00:20,  6.63it/s, acc=0.010, it_s=6.22, loss=4.847]
train epoch 1: 127it [00:20,  6.63it/s, acc=0.010, it_s=6.22, loss=4.847]
train epoch 1: 127it [00:20,  6.63it/s, acc=0.011, it_s=6.23, loss=4.837]
train epoch 1: 134it [00:21,  6.63it/s, acc=0.011, it_s=6.23, loss=4.837]
train epoch 1: 134it [00:21,  6.63it/s, acc=0.011, it_s=6.25, loss=4.828]
train epoch 1: 134it [00:22,  6.63it/s, acc=0.012, it_s=6.26, loss=4.818]
train epoch 1: 141it [00:22,  6.62it/s, acc=0.012, it_s=6.26, loss=4.818]
train epoch 1: 141it [00:23,  6.62it/s, acc=0.012, it_s=6.27, loss=4.810]
train epoch 1: 148it [00:23,  6.63it/s, acc=0.012, it_s=6.27, loss=4.810]
train epoch 1: 148it [00:23,  6.63it/s, acc=0.012, it_s=6.28, loss=4.802]
train epoch 1: 148it [00:24,  6.63it/s, acc=0.012, it_s=6.29, loss=4.794]
train epoch 1: 155it [00:24,  6.62it/s, acc=0.012, it_s=6.29, loss=4.794]
train epoch 1: 155it [00:25,  6.62it/s, acc=0.013, it_s=6.30, loss=4.786]
train epoch 1: 162it [00:25,  6.62it/s, acc=0.013, it_s=6.30, loss=4.786]
train epoch 1: 162it [00:26,  6.62it/s, acc=0.013, it_s=6.31, loss=4.778]
train epoch 1: 169it [00:26,  6.62it/s, acc=0.013, it_s=6.31, loss=4.778]
train epoch 1: 169it [00:26,  6.62it/s, acc=0.013, it_s=6.32, loss=4.771]
train epoch 1: 169it [00:27,  6.62it/s, acc=0.014, it_s=6.33, loss=4.764]
